acta,codigo,maduro,edmundo,otros,total_validos,total_nulo,total_invalido
437250_511638_0250Acta0250.jpg,140601001.01.1.0001,142,329,8,479,0,0
437250_570321_0281Acta0281.jpg,141001001.01.1.0001,189,227,7,423,0,0
437250_821352_0291Acta0291.jpg,141001007.02.1.0001,226,230,9,465,0,0
437250_932239_0261Acta0261.jpg,141301002.01.1.0001,171,332,11,514,0,0
441267_032394_0134Acta0134.jpg,091501002.02.1.0001,72,381,7,460,0,0
441267_148378_0105Acta0105.jpg,091201014.02.1.0001,73,299,8,380,0,0
441267_186902_0122Acta0122.jpg,090101002.01.1.0001,96,179,2,277,0,0
441267_351835_0114Acta0114.jpg,091202006.01.1.0001,105,276,7,388,0,0
441267_419591_0089Acta0089.jpg,091201005.02.1.0001,87,458,8,553,0,0
441267_495425_0115Acta0115.jpg,090101001.03.1.0001,91,348,11,450,0,0
441267_635226_0136Acta0136.jpg,091501005.01.1.0001,115,231,18,364,0,0
441267_752075_0092Acta0092.jpg,091201006.01.1.0001,133,344,11,488,0,0
441267_930863_0098Acta0098.jpg,091201003.02.1.0001,100,440,9,549,0,0
443074_004560_0423Acta0423.jpg,131001021.03.1.0001,165,380,19,564,0,0
443074_005143_0185Acta0185.jpg,130501008.03.1.0001,261,302,17,580,0,0
443074_008773_0294Acta0294.jpg,131201005.03.1.0001,136,427,18,581,0,0
443074_018440_0258Acta0258.jpg,130501027.02.1.0001,296,198,23,517,0,0
443074_021199_0213Acta0213.jpg,130501014.01.1.0001,227,263,16,506,0,0
443074_031023_0334Acta0334.jpg,131201012.03.1.0001,93,407,15,515,0,0
443074_051251_0413Acta0413.jpg,131001013.02.1.0001,137,370,20,527,0,0
443074_059249_0305Acta0305.jpg,131201006.02.1.0001,213,302,28,543,1,1
443074_106101_0177Acta0177.jpg,130501016.03.1.0001,153,305,13,471,1,1
443074_154066_0236Acta0236.jpg,130501018.02.1.0001,200,274,17,491,0,0
443074_226313_0281Acta0281.jpg,130501032.01.1.0001,139,409,21,569,0,0
443074_236102_0317Acta0317.jpg,131201024.03.1.0001,194,225,21,440,0,0
443074_289650_0517Acta0517.jpg,131001004.03.1.0001,181,364,21,566,0,0
443074_348432_0471Acta0471.jpg,131001013.01.1.0001,108,377,5,490,0,0
443074_356755_0263Acta0263.jpg,130501009.03.1.0001,240,246,21,507,0,0
443074_368325_0210Acta0210.jpg,130501015.03.1.0001,283,268,28,579,0,0
443074_396143_0303Acta0303.jpg,131201016.03.1.0001,153,307,24,484,0,0
443074_406851_0197Acta0197.jpg,130501001.02.1.0001,210,275,8,493,0,0
443074_432476_0395Acta0395.jpg,131001012.01.1.0001,137,306,12,455,0,0
443074_434836_0510Acta0510.jpg,131001004.01.1.0001,176,347,26,549,0,0
443074_440615_0439Acta0439.jpg,131001014.03.1.0001,160,273,20,453,0,0
443074_445349_0160Acta0160.jpg,130501003.01.1.0001,236,407,19,662,0,0
443074_468040_0498Acta0498.jpg,131001001.01.1.0001,146,339,10,495,0,0
443074_549730_0476Acta0476.jpg,131001008.02.1.0001,103,281,14,398,0,0
443074_559557_0318Acta0318.jpg,131201020.01.1.0001,240,252,31,523,0,0
443074_593931_0396Acta0396.jpg,131002003.02.1.0001,230,164,15,409,0,0
443074_613271_0438Acta0438.jpg,131001014.02.1.0001,138,277,25,440,0,0
443074_667527_0261Acta0261.jpg,130501009.02.1.0001,222,275,18,515,0,0
443074_696553_0183Acta0183.jpg,130501008.06.1.0001,323,315,30,668,0,0
443074_835450_0173Acta0173.jpg,130501022.01.1.0001,211,169,14,394,0,0
443074_837265_0501Acta0501.jpg,131001001.02.1.0001,142,324,10,476,0,0
443074_886416_0176Acta0176.jpg,130501016.02.1.0001,138,274,13,425,0,0
443074_887871_0259Acta0259.jpg,130501027.01.1.0001,327,184,21,532,1,1
443074_957586_0393Acta0393.jpg,131001044.01.1.0001,74,122,7,203,0,0
443074_960878_0362Acta0362.jpg,131201030.02.1.0001,115,168,19,302,0,0
443074_994799_0242Acta0242.jpg,130501013.03.1.0001,209,259,23,491,0,0
443074_996519_0337Acta0337.jpg,131201011.03.1.0001,86,378,15,479,0,0
454356_056744_0767Acta0266.jpg,170601016.02.1.0001,182,281,16,479,0,0
454356_175335_0795Acta0294.jpg,171501005.04.1.0001,282,205,18,505,0,0
454356_226516_0737Acta0236.jpg,171401023.01.1.0001,451,288,11,750,0,0
454356_228840_0676Acta0176.jpg,170703002.02.1.0001,325,67,10,402,0,0
454356_447192_0769Acta0268.jpg,170601004.01.1.0001,233,307,13,553,0,0
454356_470853_0691Acta0191.jpg,170706002.03.1.0001,337,182,14,533,0,0
454356_483451_0808Acta0307.jpg,171501004.01.1.0001,197,159,9,365,0,0
454356_540587_0791Acta0290.jpg,171502001.01.1.0001,287,334,21,642,0,0
454356_589046_0759Acta0258.jpg,171401003.02.1.0001,279,302,5,586,0,0
